,ID,TITLE,PRICE,PRICE PER SQ. M.,BEDROOMS,BATHROOMS,SIZE,POOL,URL,IMG,NEW BUILD,*ROOMS*,*KITCHEN*,*BATHROOM*,*GARDEN*,*OUTSIDE*,*HEATING*,*POOL*,*BUILDINGS*,*TENURE*,*UTILITIES*,*ENERGY CONSUMPTION RATING*,*SECURITY*,*PARKING*,*PLOT SIZE*,*LEISURE*,*VIEWS*,*QUALITY*,LAT,LON
278,4249820,3 bedroom Apartment for sale in Malaga,215000.0,,3,,,False,https://www.kyero.com/en/property/4249820,http://production.kyero.s3.amazonaws.com/4249/4249820/47147585_original.jpg,True,,,,garden,,,communal pool,,,,Awaiting details,gated complex,,,,,,36.719623,-4.420023
279,4645424,2 bedroom Apartment for sale in Malaga,139000.0,,2,,,True,https://www.kyero.com/en/property/4645424,http://production.kyero.s3.amazonaws.com/4645/4645424/54703702_original.jpg,True,,,,,sunny terraces,,,,,,Awaiting details,,underground parking,,tennis court,,,36.719623,-4.420023
280,4645424,2 bedroom Apartment for sale in Malaga,139000.0,,2,,,True,https://www.kyero.com/en/property/4645424,http://production.kyero.s3.amazonaws.com/4645/4645424/54703702_original.jpg,True,,,,,sunny terraces,,,,,,Awaiting details,,underground parking,,tennis court,,,36.719623,-4.420023
281,4645460,2 bedroom Apartment for sale in Malaga,183000.0,,2,,,False,https://www.kyero.com/en/property/4645460,http://production.kyero.s3.amazonaws.com/4645/4645460/54704346_original.jpg,True,,,,,terrace,,communal pool,,,,Awaiting details,24h security system,underground parking,,paddle tennis,,,36.719623,-4.420023
282,4645470,2 bedroom Apartment for sale in Malaga,145000.0,,2,,,False,https://www.kyero.com/en/property/4645470,http://production.kyero.s3.amazonaws.com/4645/4645470/54704475_original.jpg,True,,,,,terrace,,,,,,Awaiting details,,underground parking,,,sea views,,36.719623,-4.420023
283,4426157,2 bedroom Apartment for sale in Malaga,150000.0,,2,,,True,https://www.kyero.com/en/property/4426157,http://production.kyero.s3.amazonaws.com/4426/4426157/50579738_original.jpg,True,,,,,,,,,,,Awaiting details,,,,,,,36.719623,-4.420023
284,4426197,2 bedroom Apartment for sale in Malaga,139000.0,,2,,,False,https://www.kyero.com/en/property/4426197,http://production.kyero.s3.amazonaws.com/4426/4426197/50580386_original.jpg,True,,,,garden,,fireplace,,,,,Awaiting details,,,,,,"good condition, spacious accommodation",36.719623,-4.420023
285,4601365,10 bedroom Apartment for sale in Malaga,25500000.0,,10,,,False,https://www.kyero.com/en/property/4601365,http://production.kyero.s3.amazonaws.com/4601/4601365/53932976_original.jpg,True,,,,,level plot,,,,,,Awaiting details,,,,,,spacious accommodation,36.719623,-4.420023
286,4617238,3 bedroom Apartment for sale in Malaga,139000.0,,3,,,False,https://www.kyero.com/en/property/4617238,http://production.kyero.s3.amazonaws.com/4617/4617238/54237087_original.jpg,True,,,,,,,,,,,Awaiting details,,,,,sea views,,36.719623,-4.420023
287,5308365,1 bedroom Apartment for sale in Malaga,266000.0,4222.222222222223,1,1,63,False,https://www.kyero.com/en/property/5308365,http://production.kyero.s3.amazonaws.com/5308/5308365/69013942_original.jpg,True,store room,fitted kitchen,,community garden,terrace,air conditioning,,,,"electricity, water",Awaiting details,,underground parking,,,,"immaculate condition, newly built, new development",36.719623,-4.420023
288,5205537,4 bedroom Villa for sale in Malaga,1075000.0,2590.3614457831327,4,4,415,True,https://www.kyero.com/en/property/5205537,http://production.kyero.s3.amazonaws.com/5205/5205537/68504302_original.jpg,True,store room,fitted kitchen,,beautiful garden,"terrace, covered terrace",air conditioning,private pool,,,,Awaiting details,,garage,,,sea views,"immaculate condition, newly built, new development",36.719623,-4.420023
